year,difference,solo
1807,13.085114,8.988184
1828,7.6312637,3.4493892
1867,8.383169,2.4412355
1880,9.674395,4.890337
1910,-6.1173162,-3.8607242
1925,-2.283947,-3.9651434
1950,-9.2126,-4.3061056
1959,4.0817323,2.443603
1972,7.7929063,1.2558917
1982,5.315752,1.9067513
2014,-1.4259143,0.2683245
