year,difference,solo
1813,5.2639275,5.471723
1836,7.2487526,4.6882296
1864,2.9692335,1.9010979
1887,9.177582,4.9359593
1906,8.217609,6.072508
1936,-6.6880465,-1.3170947
1958,0.28312683,1.536373
1972,2.2096953,5.039428
1992,-17.263336,-8.561508
2018,-8.765734,-3.5033374
